# This file was produced by samtools stats (1.14+htslib-1.14) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats merged/PAJA_USNM606730.RAZObowtie.marked.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	673df8cf	cef29f4d	8c5303c7
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	134957205	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	134957205
SN	is sorted:	1
SN	1st fragments:	134957205
SN	last fragments:	0
SN	reads mapped:	134957205
SN	reads mapped and paired:	0	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	0	# proper-pair bit set
SN	reads paired:	0	# paired-end technology bit set
SN	reads duplicated:	10560977	# PCR or optical duplicate bit set
SN	reads MQ0:	7371695	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	0
SN	total length:	18737750003	# ignores clipping
SN	total first fragment length:	18737750003	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	18737750003	# ignores clipping
SN	bases mapped (cigar):	18737750003	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	1316348276
SN	mismatches:	1033086187	# from NM fields
SN	error rate:	5.513395e-02	# mismatches / bases mapped (cigar)
SN	average length:	138
SN	average first fragment length:	139
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	36.0
SN	insert size average:	0.0
SN	insert size standard deviation:	0.0
SN	inward oriented pairs:	0
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	0.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	68343	373192	4	380195	1119222	1605512	953774	259	5411040	42617237	12469	15961043	66454870	37	0	0	0	0	0	0	0
FFQ	2	0	0	2516	0	0	0	0	0	54	2	117814	193	0	0	1	64	233284	712	116	3598	4	3	115977	300592	4	267981	1004162	1804911	716851	37	4512439	36363268	14479	8475365	80978384	43466	185	688	32	18	2	3	0
FFQ	3	0	0	127	0	0	0	0	0	71	1	126825	292	0	0	0	106	264478	1244	334	11981	2	17	131935	279914	4	338411	945451	1822373	842412	390	4406214	34241932	42466	7818482	83479601	182657	335	18036	260	832	15	7	0
FFQ	4	0	0	1938	0	0	0	0	0	157	0	111348	589	0	0	0	171	142263	2500	839	117744	2	69	109979	929	7	285050	457464	35134	665559	3214	1274652	34311	1813406	3093342	771	24095673	1135	102705965	336	2377	254	27	0
FFQ	5	0	0	2490	0	0	0	0	0	518	2	135000	1993	0	0	0	527	158880	8329	3148	128178	1	324	117011	4458	12	319030	505950	37980	716886	8169	1375903	38397	1936216	3301060	1275	24678911	7682	101464305	517	3072	607	374	0
FFQ	6	0	0	2	0	0	0	18	0	10661	0	87700	32077	0	0	26	10447	23688	117126	63140	69393	2	10280	8191	119512	82	320989	444596	63343	393870	295479	1272075	159593	2068959	3023521	2882	21579066	2885290	101888552	744	4321	698	882	0
FFQ	7	0	0	197	0	0	8	104	0	11558	0	94589	35060	17	0	92	10244	24347	118381	64814	68650	38	11676	9055	121507	301	319897	446700	75829	379588	298002	1278024	158595	2063452	2994990	7054	21277996	2801380	102250697	2758	29512	815	1278	0
FFQ	8	0	0	31	0	0	41	69	0	12393	2	96964	34726	79	0	70	12170	24989	125364	65533	68563	384	12958	10269	120178	541	324327	443527	106447	368339	298190	1283565	160391	2074271	2994981	28417	21185268	2764948	102259731	6044	70879	1000	1556	0
FFQ	9	0	0	8	0	0	59	44	8	10082	3	83802	30543	108	8	79	11145	24146	116386	66473	69050	680	13323	10760	121110	904	325331	148179	446958	321349	303472	1288891	119278	1817017	2101149	1249749	6796387	2174	13332644	8648544	97494316	1223	1823	0
FFQ	10	0	0	41	0	0	68	49	25	12270	5	98418	36786	185	11	49	11297	24893	115090	67980	71032	1028	13484	11775	125646	1503	328505	148128	522340	239161	308647	1300298	117639	1815161	2125789	1224496	6833189	2959	13326436	8883783	97185282	1720	2037	0
FFQ	11	0	0	1	0	0	106	29	47	10756	84	87318	31996	226	9	50	11247	24953	112041	68954	71405	1072	13873	11910	127553	2264	327820	148523	621639	145621	316857	1310439	115155	1826279	2143625	1211625	6879140	5226	13359253	9075111	96890016	2613	2369	0
FFQ	12	0	0	0	0	0	128	86	152	23172	274	171338	66422	256	13	83	13704	31254	137751	82501	87445	1100	15434	12979	140637	3353	349761	154608	740215	64352	325326	1347022	119393	1877939	2181414	1251323	6974114	13523	13460747	9175215	96105168	10922	18081	0
FFQ	13	0	0	25	0	0	89	57	79	10893	363	87968	32409	289	13	45	11803	25926	119783	72596	75167	1175	14806	12300	129420	6856	337126	152122	767386	46101	328888	1329041	134089	1922591	2189284	1276117	6986876	52227	13518016	9377319	95878279	31180	28501	0
FFQ	14	0	0	2	0	0	91	58	121	12544	553	96957	35929	274	22	67	2432	31971	111827	73111	75635	1210	15146	12442	30119	110220	337934	152981	732026	45596	326761	558893	857939	1308457	2117175	1459507	1333826	4257218	3711390	11862310	8589371	24984109	71710981	0
FFQ	15	0	0	139	0	0	128	92	197	12905	795	98585	36349	303	34	124	2816	32668	117241	75859	77554	1293	15506	12611	31612	113053	339437	156046	741943	46222	332698	569303	867901	1312537	2137029	1448785	1358585	4263136	3708715	11933275	8603443	25190703	71317583	0
